iter	Passed	Remaining
0	60	60617
1	60	30395
2	61	20311
3	61	15273
4	61	12247
5	61	10231
6	61	8790
7	62	7712
8	62	6871
9	62	6199
10	62	5654
11	63	5196
12	63	4807
13	63	4473
14	63	4184
15	63	3931
16	64	3708
17	64	3510
18	64	3333
19	64	3175
20	65	3031
21	65	2901
22	65	2782
23	65	2672
24	65	2572
25	66	2478
26	66	2394
27	66	2314
28	66	2239
29	67	2169
30	67	2121
31	68	2059
32	68	2001
33	68	1947
34	68	1895
35	68	1846
36	69	1800
37	69	1757
38	69	1715
39	69	1678
40	70	1641
41	70	1605
42	70	1571
43	70	1538
44	71	1507
45	71	1477
46	71	1449
47	71	1421
48	71	1395
49	72	1371
50	72	1346
51	72	1323
52	72	1300
53	73	1279
54	73	1258
55	73	1239
56	73	1219
57	73	1200
58	74	1182
59	74	1165
60	74	1148
61	74	1131
62	75	1118
63	75	1102
64	75	1087
65	75	1073
66	76	1059
67	76	1043
68	76	1030
69	76	1017
70	76	1005
71	77	993
72	78	990
73	78	978
74	78	967
75	78	955
76	78	945
77	79	934
78	79	924
79	79	914
80	79	904
81	79	894
82	80	885
83	80	876
84	80	867
85	80	858
86	80	849
87	81	841
88	81	833
89	81	825
90	81	817
91	82	810
92	82	803
93	82	796
94	82	789
95	83	782
96	83	776
97	83	769
98	83	763
99	84	756
100	84	750
101	84	742
102	84	736
103	84	730
104	84	724
105	85	718
106	85	712
107	85	707
108	85	701
109	86	695
110	86	690
111	86	685
112	86	680
113	86	675
114	87	670
115	87	664
116	87	659
117	87	654
118	87	649
119	88	645
120	88	640
121	88	636
122	88	631
123	88	626
124	88	622
125	89	618
126	89	615
127	90	614
128	90	610
129	90	607
130	90	603
131	91	599
132	91	595
133	91	591
134	92	590
135	92	587
136	92	584
137	92	580
138	93	576
139	93	573
140	93	570
141	94	568
142	94	565
143	94	562
144	94	560
145	95	556
146	95	554
147	95	551
148	96	548
149	96	545
150	96	542
151	96	540
152	97	537
153	97	534
154	97	532
155	97	529
156	98	527
157	98	524
158	98	522
159	98	519
160	99	516
161	99	514
162	99	512
163	100	509
164	100	507
165	100	505
166	100	502
167	101	500
168	101	498
169	101	496
170	101	493
171	102	491
172	102	489
173	102	487
174	102	485
175	103	483
176	103	481
177	103	478
178	103	476
179	104	474
180	104	471
181	104	469
182	104	467
183	104	465
184	105	463
185	105	461
186	105	459
187	105	456
188	106	455
189	106	452
190	106	451
191	106	449
192	106	447
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	435
199	108	433
200	108	432
201	108	430
202	109	428
203	109	426
204	109	425
205	109	423
206	110	421
207	110	419
208	110	418
209	110	416
210	110	414
211	111	412
212	111	411
213	111	409
214	111	407
215	111	406
216	112	404
217	112	403
218	112	401
219	112	399
220	113	398
221	113	396
222	113	395
223	113	393
224	113	392
225	114	390
226	114	389
227	114	387
228	114	386
229	114	384
230	115	383
231	115	382
232	115	380
233	115	379
234	116	378
235	116	377
236	116	375
237	116	374
238	117	373
239	117	371
240	117	370
241	117	369
242	118	367
243	118	366
244	118	365
245	119	364
246	119	363
247	119	362
248	119	361
249	119	359
250	120	358
251	120	357
252	120	356
253	121	355
254	121	354
255	121	353
256	121	352
257	122	351
258	122	349
259	122	348
260	122	347
261	122	346
262	123	345
263	123	344
264	123	342
265	123	341
266	124	340
267	124	339
268	124	338
269	124	337
270	125	336
271	125	335
272	125	334
273	125	333
274	125	331
275	126	330
276	126	329
277	126	328
278	126	327
279	127	326
280	127	325
281	127	324
282	127	323
283	127	322
284	128	321
285	128	320
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	314
292	129	313
293	130	312
294	130	311
295	130	310
296	130	309
297	130	308
298	131	307
299	131	306
300	131	305
301	132	305
302	132	304
303	132	303
304	132	302
305	133	302
306	133	301
307	133	300
308	134	299
309	134	299
310	134	298
311	135	297
312	135	296
313	135	296
314	135	295
315	136	294
316	136	293
317	136	292
318	136	291
319	136	291
320	137	290
321	137	289
322	137	288
323	138	288
324	138	287
325	138	286
326	138	285
327	138	284
328	139	283
329	139	283
330	139	282
331	139	281
332	140	280
333	140	279
334	140	279
335	140	278
336	141	277
337	141	276
338	141	275
339	141	275
340	141	274
341	142	273
342	142	272
343	142	272
344	142	271
345	143	270
346	143	269
347	143	268
348	143	268
349	143	267
350	144	266
351	144	265
352	144	265
353	144	264
354	145	263
355	145	263
356	145	262
357	146	261
358	146	261
359	146	260
360	146	259
361	146	259
362	147	258
363	147	257
364	147	256
