iter	Passed	Remaining
0	57	57168
1	57	28700
2	57	19207
3	58	14480
4	58	11636
5	58	9734
6	59	8376
7	59	7356
8	59	6563
9	59	5934
10	60	5418
11	60	4983
12	60	4615
13	61	4301
14	61	4028
15	61	3791
16	61	3580
17	62	3391
18	62	3222
19	62	3072
20	62	2935
21	63	2811
22	63	2699
23	63	2595
24	64	2498
25	64	2410
26	64	2327
27	64	2251
28	65	2178
29	65	2111
30	65	2049
31	65	1990
32	66	1937
33	66	1886
34	66	1837
35	66	1791
36	67	1748
37	67	1707
38	67	1668
39	67	1631
40	68	1595
41	68	1561
42	68	1528
43	68	1497
44	69	1468
45	69	1439
46	69	1413
47	69	1387
48	70	1364
49	70	1340
50	70	1317
51	71	1294
52	71	1274
53	71	1254
54	71	1235
55	72	1217
56	72	1198
57	72	1180
58	72	1162
59	73	1145
60	73	1129
61	73	1114
62	73	1099
63	74	1084
64	74	1070
65	74	1056
66	74	1044
67	75	1030
68	75	1018
69	75	1006
70	75	994
71	76	982
72	76	970
73	76	960
74	77	950
75	77	939
76	77	929
77	77	919
78	77	909
79	78	899
80	78	891
81	78	882
82	78	871
83	79	862
84	79	853
85	79	845
86	79	837
87	80	829
88	80	821
89	80	814
90	80	806
91	81	799
92	81	792
93	81	785
94	81	778
95	81	771
96	82	765
97	82	760
98	82	753
99	83	747
100	83	741
101	83	735
102	83	729
103	84	723
104	84	717
105	84	712
106	84	707
107	85	702
108	85	697
109	85	691
110	85	686
111	85	681
112	86	676
113	86	671
114	86	667
115	87	663
116	87	658
117	87	654
118	87	649
119	88	645
120	88	641
121	88	636
122	88	632
123	88	627
124	89	623
125	89	620
126	89	616
127	89	612
128	90	609
129	90	605
130	90	602
131	91	598
132	91	594
133	91	591
134	91	588
135	92	585
136	92	582
137	92	578
138	92	575
139	93	572
140	93	568
141	93	565
142	93	561
143	94	559
144	94	556
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	536
152	96	533
153	96	530
154	96	527
155	97	525
156	97	522
157	97	519
158	97	517
159	98	514
160	98	511
161	98	509
162	98	506
163	98	504
164	99	501
165	99	499
166	99	497
167	99	495
168	100	492
169	100	490
170	100	488
171	100	486
172	101	483
173	101	481
174	101	479
175	101	477
176	102	475
177	102	472
178	102	470
179	102	468
180	103	466
181	103	464
182	103	462
183	103	460
184	103	458
185	104	456
186	104	453
187	104	452
188	104	449
189	105	448
190	105	446
191	105	444
192	105	442
193	106	440
194	106	438
195	106	436
196	106	435
197	107	434
198	107	432
199	107	430
200	108	429
201	108	427
202	108	426
203	108	424
204	109	423
205	109	421
206	109	419
207	109	417
208	110	416
209	110	414
210	110	413
211	110	412
212	111	410
213	111	408
214	111	407
215	111	406
216	112	404
217	112	403
218	112	401
219	112	400
220	113	399
221	113	397
222	113	396
223	114	394
224	114	393
225	114	392
226	114	390
227	114	389
228	115	387
229	115	386
230	115	384
231	115	383
232	116	382
233	116	381
234	116	380
235	117	379
236	117	377
237	117	376
238	117	375
239	118	373
240	118	372
241	118	371
242	118	370
243	119	368
244	119	367
245	119	366
246	119	365
247	120	364
248	120	363
249	120	361
250	120	360
251	121	359
252	121	358
253	121	357
254	121	355
255	122	354
256	122	353
257	122	352
258	122	351
259	123	350
260	123	349
261	123	347
262	123	346
263	123	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	340
269	125	339
270	125	338
271	126	337
272	126	336
273	126	335
274	126	334
275	127	333
276	127	332
277	127	331
278	127	330
279	128	329
280	128	328
281	128	327
282	128	326
283	129	325
284	129	324
285	129	323
286	129	322
287	130	321
288	130	320
289	130	319
290	130	318
291	131	317
292	131	316
293	131	316
294	131	315
295	132	314
296	132	313
297	132	312
298	132	311
299	133	310
300	133	309
301	133	308
302	133	307
303	134	307
304	134	306
305	134	305
306	134	304
307	135	303
308	135	302
309	135	301
310	135	301
311	136	300
312	136	299
313	136	298
314	136	297
315	137	296
316	137	296
317	137	295
318	137	294
319	138	293
320	138	292
321	139	293
322	139	292
323	139	291
324	139	290
325	140	289
326	140	288
327	141	289
328	141	288
329	141	288
330	142	287
331	142	286
332	142	285
333	142	284
334	142	283
335	143	283
336	143	282
337	143	281
338	143	280
339	144	280
340	144	279
341	144	278
342	145	278
343	145	277
344	145	276
345	145	275
346	146	274
347	146	274
348	146	273
349	146	272
350	147	272
351	147	271
352	147	270
353	147	269
354	148	269
355	148	268
356	148	267
357	148	266
358	148	265
359	149	265
360	149	264
361	149	263
362	149	263
363	150	262
364	150	261
365	150	261
366	150	260
367	151	259
368	151	258
369	151	258
370	151	257
371	152	256
372	152	255
373	152	255
374	152	254
375	153	254
376	153	253
377	153	252
378	153	252
379	154	251
380	154	250
381	154	249
382	154	249
383	155	248
384	155	247
385	155	247
386	155	246
387	155	245
388	156	245
389	156	244
390	156	243
391	156	243
392	156	242
393	157	241
394	157	241
395	157	240
396	157	239
397	158	239
398	158	238
399	158	237
400	158	237
401	159	236
402	159	236
403	159	235
404	159	234
405	160	234
406	160	233
407	160	232
408	160	232
409	160	231
410	161	230
411	161	230
412	161	229
413	161	228
414	161	228
415	162	227
416	162	226
417	162	226
418	162	225
419	162	224
420	163	224
421	163	223
422	163	223
423	163	222
424	164	221
425	164	221
426	164	220
427	164	220
428	164	219
429	165	218
430	165	218
431	165	217
432	165	217
433	165	216
434	166	215
435	166	215
436	166	214
437	166	214
438	167	213
439	167	212
440	167	212
441	167	211
442	167	211
443	168	210
444	168	210
445	168	209
446	169	209
447	169	208
448	169	208
449	170	207
450	170	207
451	170	206
452	170	206
453	170	205
454	171	205
455	171	204
456	171	203
457	171	203
458	172	202
459	172	202
460	172	201
461	172	201
462	172	200
463	173	200
464	173	199
465	173	198
466	173	198
467	174	197
468	174	197
469	174	196
470	174	196
471	175	195
472	175	195
473	175	194
474	175	194
475	176	193
476	176	193
477	176	192
478	176	192
479	177	191
480	177	191
481	177	190
482	177	190
483	178	189
484	178	189
485	178	188
486	178	188
487	178	187
488	179	187
489	179	186
490	179	186
491	179	185
492	180	185
493	180	184
494	180	184
495	180	183
496	181	183
497	181	182
498	181	182
499	181	181
500	182	181
501	182	180
502	182	180
503	182	180
504	183	179
505	183	179
506	183	178
507	183	178
508	184	177
509	184	177
510	184	176
511	185	176
512	185	175
513	185	175
514	186	175
515	186	174
516	186	174
517	186	173
518	187	173
519	187	172
520	187	172
521	188	172
522	188	171
523	188	171
524	189	171
525	189	170
526	189	170
527	189	169
528	190	169
529	190	168
530	190	168
531	191	168
532	191	167
533	191	167
534	191	166
535	191	166
536	192	165
537	192	165
538	192	164
539	192	164
540	193	163
541	193	163
542	193	163
543	193	162
544	194	162
545	194	161
546	194	161
547	194	160
548	195	160
549	195	159
550	195	159
551	195	159
552	196	158
553	196	158
554	196	157
555	196	157
556	197	156
557	197	156
558	197	155
559	198	155
560	198	155
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	199	152
568	200	151
569	200	151
570	201	151
571	201	150
572	201	150
573	201	149
574	202	149
575	202	149
576	202	148
577	203	148
578	203	147
579	203	147
580	203	147
581	204	146
582	204	146
583	204	145
584	204	145
585	205	144
586	205	144
587	205	144
588	205	143
589	206	143
590	206	142
591	206	142
592	206	141
593	207	141
594	207	141
595	207	140
596	207	140
597	207	139
598	208	139
599	208	139
600	208	138
601	208	138
602	209	137
603	209	137
604	209	136
605	209	136
606	210	136
607	210	135
608	210	135
609	210	134
610	211	134
611	211	133
612	211	133
613	211	133
614	212	132
615	212	132
616	212	131
617	212	131
618	212	131
619	213	130
620	213	130
621	213	129
622	213	129
623	214	128
624	214	128
625	214	128
626	214	127
627	215	127
628	215	127
629	215	126
630	215	126
631	216	125
632	216	125
633	216	125
634	216	124
635	217	124
636	217	123
637	217	123
638	217	123
639	218	122
640	218	122
641	218	121
642	219	121
643	219	121
644	219	120
645	219	120
646	219	120
647	220	119
648	220	119
649	220	118
650	220	118
651	221	118
652	222	117
653	222	117
654	222	117
655	222	116
656	223	116
657	223	116
658	223	115
659	223	115
660	224	114
661	224	114
662	224	114
663	224	113
664	224	113
665	225	112
666	225	112
667	225	112
668	225	111
669	226	111
670	226	111
671	226	110
672	226	110
673	227	109
674	227	109
675	227	109
676	227	108
677	228	108
678	228	107
679	228	107
680	228	107
681	229	106
682	229	106
683	229	106
684	229	105
685	230	105
686	230	104
687	230	104
688	230	104
689	231	103
690	231	103
691	231	103
692	231	102
693	232	102
694	232	101
695	232	101
696	232	101
697	233	100
698	233	100
699	233	100
700	234	99
701	234	99
702	234	99
703	234	98
704	235	98
705	235	98
706	235	97
707	235	97
708	236	96
709	236	96
710	236	96
711	236	95
712	237	95
713	237	95
714	237	94
715	237	94
716	238	93
717	238	93
718	238	93
719	238	92
720	239	92
721	239	92
722	239	91
723	239	91
724	240	91
725	240	90
726	240	90
727	240	89
728	241	89
729	241	89
730	241	88
731	241	88
732	242	88
733	242	87
734	242	87
735	242	87
736	243	86
737	243	86
738	243	86
739	243	85
740	244	85
741	244	85
742	244	84
743	244	84
744	245	83
745	245	83
746	245	83
747	246	82
748	246	82
749	246	82
750	246	81
751	247	81
752	247	81
753	247	80
754	247	80
755	248	80
756	248	79
757	248	79
758	248	78
759	248	78
760	249	78
761	249	77
762	249	77
763	249	77
764	249	76
765	250	76
766	250	76
767	250	75
768	250	75
769	251	75
770	251	74
771	251	74
772	251	73
773	251	73
774	252	73
775	252	72
776	252	72
777	252	72
778	252	71
779	253	71
780	253	71
781	253	70
782	253	70
783	253	69
784	254	69
785	254	69
786	254	68
787	254	68
788	254	68
789	255	67
790	255	67
791	255	67
792	255	66
793	256	66
794	256	66
795	256	65
796	256	65
797	256	65
798	257	64
799	257	64
800	257	63
801	257	63
802	257	63
803	258	62
804	258	62
805	258	62
806	258	61
807	259	61
808	259	61
809	259	60
810	259	60
811	260	60
812	260	59
813	260	59
814	260	59
815	261	58
816	261	58
817	261	58
818	261	57
819	262	57
820	262	57
821	262	56
822	262	56
823	263	56
824	263	55
825	263	55
826	263	55
827	263	54
828	264	54
829	264	54
830	264	53
831	264	53
832	265	53
833	265	52
834	265	52
835	265	52
836	266	51
837	266	51
838	266	51
839	266	50
840	267	50
841	267	50
842	267	49
843	267	49
844	268	49
845	268	48
846	268	48
847	268	48
848	269	47
849	269	47
850	269	47
851	270	46
852	270	46
853	270	46
854	270	45
855	271	45
856	271	45
857	271	44
858	271	44
859	271	44
860	272	43
861	272	43
862	272	43
863	272	42
864	273	42
865	273	42
866	273	41
867	273	41
868	274	41
869	274	40
870	274	40
871	274	40
872	274	40
873	275	39
874	275	39
875	275	39
876	275	38
877	276	38
878	276	38
879	276	37
880	276	37
881	277	37
882	277	36
883	277	36
884	277	36
885	277	35
